Variable,log2(FC),p-value,q-value,-log10(q-value),Mean
Casp8,0.585,0.00678567547896486,0.012758106046604633,1.894213792273048,7.307500000000001
Mapk14,0.5566666666666675,0.0602791353767862,0.07236944986813586,1.140444728743865,6.998333333333334
Tollip,0.5316666666666663,0.016308977088269744,0.023517111245183287,1.6286160264448233,8.140833333333333
Itgam,0.30666666666666753,0.35123278123869783,0.37545573166895285,0.4254412613901692,5.973333333333334
Ccr2,0.22666666666666657,0.35702234555671547,0.37838265682933947,0.4220687777034625,7.733333333333333
Itgb2,0.12166666666666615,0.49393154644125875,0.510395931322634,0.2920927962993776,7.3258333333333345
Clec4e,0.10999999999999943,0.7712502999734133,0.790372208237217,0.10216833919651783,6.605
Tyrobp,0.09999999999999964,0.8367455362834537,0.8504626762225267,0.07034474127102897,10.24
Trem1,0.03500000000000014,0.9266369746309131,0.9341706085710019,0.02957380086351088,6.272500000000001
Irgm1,0.006666666666666821,0.9777274336069297,0.9777274336069297,0.009782198973975958,7.8933333333333335
C3,-0.16999999999999904,0.43151679490680755,0.44964775267600116,0.347127572833977,5.905
Ifnar2,-0.25833333333333286,0.34019865032872904,0.3668228925283687,0.43554356888939455,6.995833333333333
Notch1,-0.30666666666666664,0.3047925474300881,0.3315287358011485,0.4794788224356708,5.546666666666667
Psmb7,-0.3333333333333339,0.007396398754736705,0.013688857396826142,1.8636328007310745,8.253333333333332
Psmc2,-0.45333333333333314,0.011991363832053436,0.018357149570057112,1.7361947535324096,9.013333333333334
Fcer1g,-0.4750000000000014,0.39561662292438066,0.41573272239511183,0.381185790753983,7.627500000000001
Itgb1,-0.5549999999999997,0.11680339212560803,0.1328772534272972,0.8765493573304179,9.1575
Ebi3,-0.5700000000000003,0.061248294297352394,0.07236944986813586,1.140444728743865,6.435
Lilrb4,-0.5850000000000009,0.24011814114898014,0.26349247347321714,0.5792317856724366,9.2825
Lair1,-0.7416666666666671,0.04620290645353954,0.057291604002389036,1.241909018566675,6.164166666666667
Cd24a,-0.7600000000000016,0.10081995662114389,0.11575624649094299,0.9364555640823516,11.350000000000001
Psmb5,-0.9033333333333324,0.061864207145341944,0.07236944986813586,1.140444728743865,7.998333333333332
Mif,-0.9483333333333341,0.020515553481288203,0.028147015575824757,1.5505676465555194,8.820833333333335
Ctss,-1.004999999999999,0.12815622752787575,0.1431655154365459,0.8441615788101362,10.522500000000003
Traf4,-1.1199999999999983,0.06160530298609292,0.07236944986813586,1.140444728743865,6.2299999999999995
Clec5a,-1.1316666666666668,0.04528222240274247,0.05671712704989966,1.2462857760262505,3.859166666666667
App,-1.3883333333333328,0.0016121183044206253,0.005402774858058312,2.267383129803053,7.020833333333333
Ctnnb1,-1.501666666666667,0.01910798837635463,0.026924892712136068,1.5698460185636898,9.804166666666665
Prim1,-1.543333333333333,0.001803971388620837,0.00581440042615838,2.2354950625410495,6.348333333333333
Csf2rb,-1.7650000000000006,0.036676959427045006,0.04688600998921218,1.3289567242540774,5.5325
Cd9,-1.8566666666666665,0.01475052656837351,0.022036931258774883,1.6568488830584998,8.301666666666666
Fn1,-1.9366666666666648,0.009579817252070742,0.016016472238216097,1.795433134705674,7.321666666666665
Fcgr3,-2.006666666666666,0.027598730626885736,0.036023606291935066,1.443412812496779,7.166666666666667
Tnfrsf14,-2.071666666666667,0.005180343478291169,0.010530534283739425,1.977549593620465,6.959166666666667
Tfrc,-2.463333333333331,0.002049999828519918,0.005911627412476042,2.22829294568982,9.858333333333333
Ctsg,-3.081666666666667,0.009687382402146833,0.016016472238216097,1.795433134705674,3.994166666666667
Cd36,-3.205,0.01631025457327228,0.023517111245183287,1.6286160264448233,9.2825
Mx1,-4.746666666666667,0.0014856689834817475,0.005313531080105789,2.274616774786164,7.686666666666665
Tal1,-5.011666666666667,0.00010533799426442166,0.0009329936634848776,3.0301213057957264,5.699166666666667
Tnfrsf11a,-5.673333333333334,0.006052363759897202,0.01172645478480083,1.9308332666667085,5.913333333333334
Ifna1,-6.641666666666666,0.02334832824084009,0.031469485889827946,1.502110352003672,5.334166666666666
